,Date,Pitcher,RelSpeed,SpinRate,Tilt,InducedVertBreak,HorzBreak,VertBreak,RelHeight,RelSide,VertApprAngle,HorzApprAngle,Inning,ZoneSpeed,ZoneTime,EffectiveVelo,SpeedDrop,Extension,PitcherThrows,Batter,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,VertRelAngle,HorzRelAngle,PlateLocHeight,PlateLocSide,HitSpinAxis,HangTime,Bearing,Distance,HitSpinRate,Direction,Angle,ExitSpeed
68,2023-02-03,"Hilton, Jake",73.09763,2346.066622,4:45,-14.30753,13.23485,-68.76665,4.79993,-1.66859,-9.514782,4.159261,3,66.52282,0.531137,70.96555,6.57482,5.22647,Left,"Paul, Austin",Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,2.93477,1.813431,1.83218,1.1397,,,,,,,,
69,2023-02-03,"Hilton, Jake",86.52972,2212.190386,11:30,18.0867,-3.66709,-19.74316,5.22753,-1.16419,-5.061639,1.856081,3,78.30773,0.442679,85.14626,8.22199,5.8337,Left,"Paul, Austin",Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,-1.308087,2.512585,2.36501,0.86719,,,,,,,,
70,2023-02-03,"Hilton, Jake",73.76805,2407.586478,4:00,-9.77071,18.30395,-62.892,4.71459,-1.80009,-8.083721,5.251337,3,66.68972,0.524573,71.85359,7.07832,5.54787,Left,"Paul, Austin",Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,3.414596,1.994159,2.67025,1.58953,,,,,,,,
71,2023-02-03,"Hilton, Jake",74.06491,2516.290697,4:45,-17.10588,13.65391,-70.34094,4.80979,-1.68187,-10.610405,4.727006,3,67.48264,0.525134,71.77679,6.58227,5.19067,Left,"Paul, Austin",Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,2.079956,2.306285,0.90718,1.62672,,,,,,,,
72,2023-02-03,"Hilton, Jake",87.55908,2236.753664,11:30,21.07974,-4.98733,-15.91698,5.21458,-1.16612,-4.31995,1.484375,3,79.27044,0.437777,86.09962,8.28864,5.74854,Left,"Paul, Austin",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,-1.258725,2.375818,2.7151,0.63141,,,,,,,,
73,2023-02-03,"Hilton, Jake",69.41355,2265.027302,4:30,-16.51434,16.58867,-77.83205,5.05351,-1.28901,-6.06259,2.93575,3,61.82123,0.563591,66.87903,7.59232,5.35297,Left,"Paul, Austin",Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,8.091463,0.004887,6.20734,0.09796,,,,,,,,
74,2023-02-03,"Hilton, Jake",86.45556,2185.680929,10:45,14.63942,-10.94835,-23.22946,5.15167,-1.07518,-6.679712,0.282321,3,78.81186,0.442907,85.10237,7.6437,5.7228,Left,"Paul, Austin",Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,-2.336144,2.240911,1.03703,0.1008,,,,,,,,
75,2023-02-03,"Hilton, Jake",85.50071,2258.327013,10:45,16.80839,-10.68146,-22.10336,5.28352,-1.18904,-5.113859,0.43025,3,77.42597,0.448964,83.95423,8.07474,5.68061,Left,"Doughty, Jacob",Fastball,Four-Seam,InPlay,Undefined,Bunt,Single,-0.942119,2.338184,2.56254,0.10166,357.871798,0.150551,22.862531,13.38373,,37.866517,-14.268432,42.12348
76,2023-02-03,"Hilton, Jake",70.77925,2565.827038,5:00,-18.99517,11.41753,-76.76276,5.08689,-1.28988,-11.369571,3.790326,3,64.48071,0.547033,68.90341,6.29854,5.46241,Left,"Morrison, Aidan",Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,2.551801,1.753447,1.08115,1.3033,,,,,,,,
77,2023-02-03,"Hilton, Jake",74.11246,1479.192399,10:00,11.15158,-14.69867,-39.2649,5.03375,-1.24234,-7.16451,-0.897559,3,67.64545,0.511043,73.75585,6.46701,6.2694,Left,"Morrison, Aidan",ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0.19025,1.760382,1.93716,-0.84381,,,,,,,,
78,2023-02-03,"Hilton, Jake",75.28021,1529.481102,10:15,12.02721,-14.06312,-37.07872,5.03562,-1.26064,-8.069987,0.039319,3,68.78898,0.504357,74.73359,6.49123,6.18216,Left,"Morrison, Aidan",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,-1.146274,2.577777,0.88601,-0.05057,,,,,,,,
79,2023-02-03,"Hilton, Jake",87.77735,2218.747415,11:00,18.07635,-10.18666,-18.74158,5.17143,-1.21736,-5.887921,0.209368,3,79.56101,0.436718,86.30842,8.21634,5.77552,Left,"Morrison, Aidan",Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,-2.330542,2.032965,1.43845,-0.17372,,,,,,,,
80,2023-02-03,"Hilton, Jake",86.65621,2326.513969,11:00,19.08808,-10.15788,-18.81721,5.16828,-1.13426,-4.504715,1.125915,3,78.01096,0.44312,85.06145,8.64525,5.81695,Left,"Morrison, Aidan",Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,-0.901954,2.943172,2.76036,0.75822,,,,,,,,
81,2023-02-03,"Hilton, Jake",74.82676,1506.821408,10:15,12.53946,-15.60363,-36.62907,5.0156,-1.29012,-7.20435,0.231837,3,68.67074,0.504679,74.686,6.15602,6.30344,Left,"Warner, Dawson",ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,-0.348847,3.051835,1.64132,0.22392,,0.127005,-23.895034,19.405,,-26.477689,-5.829508,92.46907
82,2023-02-03,"Hilton, Jake",86.74206,2303.020355,11:00,19.53989,-11.27229,-18.12655,5.13095,-1.34913,-5.378717,0.075615,3,78.41159,0.441722,85.33076,8.33047,5.8436,Left,"Clogsdon, Aaron",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,-1.912429,2.095816,1.84127,-0.33991,,,,,,,,
83,2023-02-03,"Hilton, Jake",86.20483,2299.535995,11:30,18.56013,-5.51737,-20.09009,5.29042,-1.33075,-2.711199,0.634915,3,77.32148,0.447453,84.23776,8.88335,5.60021,Left,"Clogsdon, Aaron",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1.123097,1.618843,4.6653,-0.27881,,,,,,,,
84,2023-02-03,"Hilton, Jake",84.86161,2147.517367,11:00,17.55623,-9.96245,-22.32206,5.21244,-1.26993,-4.380162,-0.482429,3,76.65537,0.454506,82.93056,8.20624,5.44777,Left,"Clogsdon, Aaron",Fastball,Four-Seam,InPlay,Undefined,Popup,Out,-0.17155,1.29045,3.19161,-0.89175,,,,,,57.36419,77.433964,92.9987
99,2023-02-03,"Hilton, Jake",85.91181,2076.416957,11:00,15.4606,-9.0189,-22.94989,5.12969,-1.26021,-5.448763,1.049635,4,78.14064,0.446063,84.50023,7.77117,5.67846,Left,"Cissne, Riley",Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,-1.141686,2.66004,2.15161,0.46973,161.452575,,,,,93.29225,72.037794,76.22059
100,2023-02-03,"Hilton, Jake",86.13716,2106.488222,11:30,16.15698,-4.93173,-22.22147,5.14449,-1.3547,-3.102071,0.697558,4,77.84675,0.445877,84.53549,8.29041,5.63359,Left,"Cissne, Riley",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,1.095757,1.57767,4.31555,-0.29334,,,,,,,,
101,2023-02-03,"Hilton, Jake",73.22097,1421.962338,10:00,8.26989,-13.22272,-44.6303,5.12941,-1.11775,-6.152117,-2.144508,4,66.70861,0.52348,72.00361,6.51236,5.64868,Left,"Cissne, Riley",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,2.104369,0.217244,3.37394,-2.01701,,,,,,,,
102,2023-02-03,"Hilton, Jake",85.33987,1998.925393,11:15,13.60115,-4.94898,-25.45556,5.14472,-1.13518,-5.353111,0.49506,4,77.49246,0.4498,83.79827,7.84741,5.60359,Left,"Cissne, Riley",Fastball,Cutter,FoulBall,Undefined,Undefined,Undefined,-0.594923,1.378498,2.46787,-0.26049,,,,,,,,
103,2023-02-03,"Hilton, Jake",86.17559,2182.763693,10:30,13.72946,-12.61257,-24.44643,5.08678,-1.1602,-6.061571,0.333293,4,78.6172,0.444699,84.75952,7.55839,5.61922,Left,"Cissne, Riley",Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,-1.503385,2.584127,1.6448,0.20203,,,,,,,,
104,2023-02-03,"Hilton, Jake",73.40473,1377.861997,9:15,4.0911,-12.90981,-47.36503,4.93581,-1.3738,-8.079068,-1.558376,4,67.67782,0.516285,73.00697,5.7269,6.01166,Left,"Tanner, Elijah",ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0.666533,0.766914,1.60629,-1.7391,,,,,,,,
105,2023-02-03,"Hilton, Jake",85.36375,2213.979507,11:15,17.96588,-7.59741,-20.76107,5.10188,-0.84838,-4.482971,1.374258,4,77.38032,0.447897,84.15428,7.98344,5.85632,Left,"Tanner, Elijah",Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,-0.540026,2.734644,2.86946,1.06123,,,,,,,,
106,2023-02-03,"Hilton, Jake",85.11933,2221.625847,10:30,15.43615,-13.95237,-23.46545,5.06014,-0.95358,-6.859757,-0.267596,4,77.63933,0.448906,83.96516,7.48,5.83011,Left,"Tanner, Elijah",Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,-2.462246,2.233714,0.8127,-0.03882,,,,,,,,
